================ Training Loss (Tue Jun 23 10:50:23 2026) ================
(epoch: 420, iters: 1, time: 0.037) lr_pixelwise: 188359.688 rec: 319418.906 rec_orthg: 27365.379 msi_pixelwise: 131059.211 manifold: 60.712 manifold_spa: 7241.045 msi_ss_msi: 114113.500 msi_ss_lr: 33858.500 lrmsi_pixelwise: 2120.056 joint: 361793.500 
(epoch: 430, iters: 1, time: 0.038) lr_pixelwise: 187607.016 rec: 318652.531 rec_orthg: 26799.217 msi_pixelwise: 131045.508 manifold: 61.343 manifold_spa: 7397.977 msi_ss_msi: 114676.000 msi_ss_lr: 33843.777 lrmsi_pixelwise: 2046.271 joint: 360508.344 
(epoch: 440, iters: 1, time: 0.037) lr_pixelwise: 188581.219 rec: 319583.625 rec_orthg: 26507.176 msi_pixelwise: 131002.414 manifold: 63.235 manifold_spa: 7567.334 msi_ss_msi: 113519.938 msi_ss_lr: 34014.008 lrmsi_pixelwise: 2014.516 joint: 361045.656 
(epoch: 450, iters: 1, time: 0.037) lr_pixelwise: 184292.031 rec: 315312.812 rec_orthg: 26672.133 msi_pixelwise: 131020.797 manifold: 65.609 manifold_spa: 7816.384 msi_ss_msi: 105898.125 msi_ss_lr: 33796.188 lrmsi_pixelwise: 2813.833 joint: 356235.750 
(epoch: 460, iters: 1, time: 0.037) lr_pixelwise: 184067.844 rec: 314966.125 rec_orthg: 26165.055 msi_pixelwise: 130898.281 manifold: 67.354 manifold_spa: 7990.721 msi_ss_msi: 110485.492 msi_ss_lr: 33857.516 lrmsi_pixelwise: 2060.598 joint: 355771.562 
(epoch: 470, iters: 1, time: 0.038) lr_pixelwise: 183812.703 rec: 314766.562 rec_orthg: 25764.707 msi_pixelwise: 130953.844 manifold: 68.490 manifold_spa: 8128.261 msi_ss_msi: 121747.453 msi_ss_lr: 33691.965 lrmsi_pixelwise: 2280.621 joint: 356303.281 
(epoch: 480, iters: 1, time: 0.037) lr_pixelwise: 183719.219 rec: 314782.000 rec_orthg: 25837.283 msi_pixelwise: 131062.766 manifold: 69.316 manifold_spa: 8279.924 msi_ss_msi: 121558.016 msi_ss_lr: 33676.020 lrmsi_pixelwise: 1915.898 joint: 356334.281 
(epoch: 490, iters: 1, time: 0.038) lr_pixelwise: 183513.625 rec: 314570.875 rec_orthg: 25563.582 msi_pixelwise: 131057.266 manifold: 69.987 manifold_spa: 8420.004 msi_ss_msi: 121389.289 msi_ss_lr: 33901.121 lrmsi_pixelwise: 2158.839 joint: 355879.406 
(epoch: 500, iters: 1, time: 0.043) lr_pixelwise: 184116.062 rec: 315169.375 rec_orthg: 25047.240 msi_pixelwise: 131053.312 manifold: 70.626 manifold_spa: 8571.718 msi_ss_msi: 121400.625 msi_ss_lr: 34010.938 lrmsi_pixelwise: 2150.215 joint: 355972.812 
(epoch: 510, iters: 1, time: 0.037) lr_pixelwise: 184343.281 rec: 315513.625 rec_orthg: 24863.613 msi_pixelwise: 131170.359 manifold: 71.224 manifold_spa: 8743.826 msi_ss_msi: 121771.719 msi_ss_lr: 34002.445 lrmsi_pixelwise: 1947.118 joint: 356149.375 
(epoch: 520, iters: 1, time: 0.040) lr_pixelwise: 185125.328 rec: 316280.812 rec_orthg: 26248.137 msi_pixelwise: 131155.469 manifold: 71.785 manifold_spa: 8921.104 msi_ss_msi: 121511.781 msi_ss_lr: 34051.293 lrmsi_pixelwise: 2216.639 joint: 358306.906 
(epoch: 530, iters: 1, time: 0.039) lr_pixelwise: 185358.781 rec: 316544.875 rec_orthg: 24388.566 msi_pixelwise: 131186.094 manifold: 72.464 manifold_spa: 9102.530 msi_ss_msi: 123198.609 msi_ss_lr: 34074.219 lrmsi_pixelwise: 2105.350 joint: 356871.250 
(epoch: 540, iters: 1, time: 0.040) lr_pixelwise: 185542.125 rec: 316646.438 rec_orthg: 24349.449 msi_pixelwise: 131104.328 manifold: 73.057 manifold_spa: 9289.877 msi_ss_msi: 123174.367 msi_ss_lr: 34112.070 lrmsi_pixelwise: 2072.415 joint: 356931.750 
(epoch: 550, iters: 1, time: 0.037) lr_pixelwise: 186251.656 rec: 317343.969 rec_orthg: 24070.312 msi_pixelwise: 131092.312 manifold: 73.664 manifold_spa: 9474.768 msi_ss_msi: 123317.523 msi_ss_lr: 34166.117 lrmsi_pixelwise: 1714.559 joint: 357334.094 
(epoch: 560, iters: 1, time: 0.044) lr_pixelwise: 186441.969 rec: 317602.656 rec_orthg: 24148.393 msi_pixelwise: 131160.688 manifold: 74.246 manifold_spa: 9674.902 msi_ss_msi: 123509.375 msi_ss_lr: 34124.578 lrmsi_pixelwise: 4990.845 joint: 358013.531 
(epoch: 570, iters: 1, time: 0.039) lr_pixelwise: 187176.000 rec: 318333.000 rec_orthg: 23802.699 msi_pixelwise: 131157.000 manifold: 74.862 manifold_spa: 9860.109 msi_ss_msi: 121848.625 msi_ss_lr: 34164.566 lrmsi_pixelwise: 1978.387 joint: 357934.844 
(epoch: 580, iters: 1, time: 0.045) lr_pixelwise: 187464.188 rec: 318665.875 rec_orthg: 24209.727 msi_pixelwise: 131201.703 manifold: 75.459 manifold_spa: 10077.339 msi_ss_msi: 122106.266 msi_ss_lr: 34207.059 lrmsi_pixelwise: 4642.670 joint: 358971.188 
(epoch: 590, iters: 1, time: 0.039) lr_pixelwise: 187590.562 rec: 318837.438 rec_orthg: 24155.258 msi_pixelwise: 131246.875 manifold: 76.084 manifold_spa: 10289.156 msi_ss_msi: 122141.078 msi_ss_lr: 34243.832 lrmsi_pixelwise: 1880.634 joint: 358819.250 
(epoch: 600, iters: 1, time: 0.037) lr_pixelwise: 187689.047 rec: 318985.750 rec_orthg: 23852.020 msi_pixelwise: 131296.688 manifold: 76.868 manifold_spa: 10513.853 msi_ss_msi: 122286.125 msi_ss_lr: 34501.078 lrmsi_pixelwise: 1891.351 joint: 358705.625 
(epoch: 610, iters: 1, time: 0.044) lr_pixelwise: 187559.141 rec: 318819.250 rec_orthg: 23204.602 msi_pixelwise: 131260.109 manifold: 78.044 manifold_spa: 10768.498 msi_ss_msi: 122648.031 msi_ss_lr: 34429.438 lrmsi_pixelwise: 2000.814 joint: 357931.688 
(epoch: 620, iters: 1, time: 0.045) lr_pixelwise: 189365.703 rec: 320393.188 rec_orthg: 25561.602 msi_pixelwise: 131027.469 manifold: 81.133 manifold_spa: 11257.857 msi_ss_msi: 122901.047 msi_ss_lr: 33625.953 lrmsi_pixelwise: 1883.648 joint: 361795.844 
(epoch: 630, iters: 1, time: 0.037) lr_pixelwise: 190465.219 rec: 321514.906 rec_orthg: 25223.477 msi_pixelwise: 131049.695 manifold: 83.566 manifold_spa: 11747.002 msi_ss_msi: 123636.969 msi_ss_lr: 33590.832 lrmsi_pixelwise: 1804.868 joint: 362641.656 
(epoch: 640, iters: 1, time: 0.044) lr_pixelwise: 191315.891 rec: 322419.750 rec_orthg: 23384.844 msi_pixelwise: 131103.875 manifold: 84.980 manifold_spa: 12085.723 msi_ss_msi: 122950.414 msi_ss_lr: 33618.023 lrmsi_pixelwise: 1686.764 joint: 361630.125 
(epoch: 650, iters: 1, time: 0.036) lr_pixelwise: 191371.781 rec: 322590.188 rec_orthg: 23710.098 msi_pixelwise: 131218.406 manifold: 85.877 manifold_spa: 12334.734 msi_ss_msi: 122679.719 msi_ss_lr: 33624.855 lrmsi_pixelwise: 1630.256 joint: 362093.750 
(epoch: 660, iters: 1, time: 0.040) lr_pixelwise: 191638.891 rec: 322891.688 rec_orthg: 23117.830 msi_pixelwise: 131252.797 manifold: 86.486 manifold_spa: 12583.818 msi_ss_msi: 123282.281 msi_ss_lr: 33649.469 lrmsi_pixelwise: 1974.770 joint: 361900.188 
